SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
561,2/02/20,Hubei,Mainland China,2020-02-02T23:43:02,11177,350,295
562,2/02/20,Zhejiang,Mainland China,2020-02-02T18:03:05,661,0,32
563,2/02/20,Guangdong,Mainland China,2020-02-02T18:03:05,632,0,15
564,2/02/20,Henan,Mainland China,2020-02-02T18:03:05,493,2,10
565,2/02/20,Hunan,Mainland China,2020-02-02T18:03:05,463,0,16
566,2/02/20,Anhui,Mainland China,2020-02-02T18:03:05,340,0,7
567,2/02/20,Jiangxi,Mainland China,2020-02-02T18:03:05,333,0,12
568,2/02/20,Chongqing,Mainland China,2020-02-02T23:33:02,300,2,7
569,2/02/20,Jiangsu,Mainland China,2020-02-02T18:03:05,236,0,7
570,2/02/20,Sichuan,Mainland China,2020-02-02T18:03:05,231,1,11
571,2/02/20,Shandong,Mainland China,2020-02-02T18:03:05,230,0,6
572,2/02/20,Beijing,Mainland China,2020-02-02T08:43:02,191,1,9
573,2/02/20,Shanghai,Mainland China,2020-02-02T05:53:02,182,1,10
574,2/02/20,Fujian,Mainland China,2020-02-02T03:43:01,159,0,0
575,2/02/20,Shaanxi,Mainland China,2020-02-02T03:23:14,116,0,0
576,2/02/20,Guangxi,Mainland China,2020-02-02T00:23:13,111,0,2
577,2/02/20,Yunnan,Mainland China,2020-02-02T18:03:05,105,0,3
578,2/02/20,Hebei,Mainland China,2020-02-02T02:53:02,104,1,3
579,2/02/20,Heilongjiang,Mainland China,2020-02-02T03:23:14,95,2,2
580,2/02/20,Liaoning,Mainland China,2020-02-02T18:03:05,70,0,1
581,2/02/20,Shanxi,Mainland China,2020-02-02T23:23:13,66,0,3
582,2/02/20,Hainan,Mainland China,2020-02-02T18:03:05,64,1,4
583,2/02/20,Gansu,Mainland China,2020-02-02T23:43:02,51,0,3
584,2/02/20,Tianjin,Mainland China,2020-02-02T09:43:01,48,0,1
585,2/02/20,Guizhou,Mainland China,2020-02-02T01:03:32,38,0,2
586,2/02/20,Ningxia,Mainland China,2020-02-02T01:43:02,28,0,0
587,2/02/20,Inner Mongolia,Mainland China,2020-02-02T03:43:01,27,0,1
588,2/02/20,Jilin,Mainland China,2020-02-02T02:33:02,23,0,1
589,2/02/20,Xinjiang,Mainland China,2020-02-02T00:43:02,21,0,0
590,2/02/20,,Japan,2020-02-01T18:53:03,20,0,1
591,2/02/20,,Thailand,2020-01-31T10:37:00,19,0,5
592,2/02/20,,Singapore,2020-02-02T01:03:32,18,0,0
593,2/02/20,Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0
594,2/02/20,,South Korea,2020-02-02T02:23:13,15,0,0
595,2/02/20,Qinghai,Mainland China,2020-02-02T05:33:03,11,0,0
596,2/02/20,,Germany,2020-02-02T18:03:05,10,0,0
597,2/02/20,Taiwan,Taiwan,2020-01-31T15:20:56,10,0,0
598,2/02/20,Macau,Macau,2020-02-02T04:23:14,8,0,0
599,2/02/20,,Malaysia,2020-01-31T08:15:53,8,0,0
600,2/02/20,,France,2020-02-01T01:52:40,6,0,0
601,2/02/20,,Vietnam,2020-02-01T07:38:12,6,0,1
602,2/02/20,,United Arab Emirates,2020-02-02T05:43:01,5,0,0
603,2/02/20,New South Wales,Australia,2020-02-01T18:12:49,4,0,2
604,2/02/20,Victoria,Australia,2020-02-01T18:12:49,4,0,0
605,2/02/20,Ontario,Canada,2020-02-01T18:12:49,3,0,0
606,2/02/20,Queensland,Australia,2020-02-02T22:33:07,2,0,0
607,2/02/20,South Australia,Australia,2020-02-02T22:33:07,2,0,0
608,2/02/20,,India,2020-02-02T06:03:08,2,0,0
609,2/02/20,,Italy,2020-01-31T08:15:53,2,0,0
610,2/02/20,,Philippines,2020-02-02T03:33:07,2,1,0
611,2/02/20,,Russia,2020-01-31T16:13:45,2,0,0
612,2/02/20,,UK,2020-02-01T01:52:40,2,0,0
613,2/02/20,"Chicago, IL",United States of America,2020-02-01T19:43:03,2,0,0
614,2/02/20,,Cambodia,2020-01-31T08:15:53,1,0,0
615,2/02/20,British Columbia,Canada,2020-02-01T18:12:49,1,0,0
616,2/02/20,,Finland,2020-01-31T08:15:53,1,0,0
617,2/02/20,Tibet,Mainland China,2020-02-01T01:52:40,1,0,0
618,2/02/20,,Nepal,2020-01-31T08:15:53,1,0,0
619,2/02/20,,Spain,2020-02-01T23:43:02,1,0,0
620,2/02/20,,Sri Lanka,2020-01-31T08:15:53,1,0,0
621,2/02/20,,Sweden,2020-02-01T02:13:26,1,0,0
622,2/02/20,"Boston, MA",United States of America,2020-02-01T19:43:03,1,0,0
623,2/02/20,"Los Angeles, CA",United States of America,2020-02-01T19:53:03,1,0,0
624,2/02/20,"Orange, CA",United States of America,2020-02-01T19:53:03,1,0,0
625,2/02/20,"Santa Clara, CA",United States of America,2020-02-01T19:53:03,1,0,0
626,2/02/20,"Seattle, WA",United States of America,2020-02-01T19:43:03,1,0,0
627,2/02/20,"Tempe, AZ",United States of America,2020-02-01T19:43:03,1,0,0
628,2/03/20,Hubei,Mainland China,2020-02-03T23:23:03,13522,414,386
629,2/03/20,Guangdong,Mainland China,2020-02-03T12:53:02,725,0,21
630,2/03/20,Zhejiang,Mainland China,2020-02-03T13:33:02,724,0,43
631,2/03/20,Henan,Mainland China,2020-02-03T17:11:34,566,2,16
632,2/03/20,Hunan,Mainland China,2020-02-03T11:03:10,521,0,22
633,2/03/20,Anhui,Mainland China,2020-02-03T17:11:34,408,0,14
634,2/03/20,Jiangxi,Mainland China,2020-02-03T01:33:02,391,0,18
635,2/03/20,Chongqing,Mainland China,2020-02-03T23:43:02,337,2,9
636,2/03/20,Jiangsu,Mainland China,2020-02-03T11:03:10,271,0,8
637,2/03/20,Shandong,Mainland China,2020-02-03T17:11:34,259,0,7
638,2/03/20,Sichuan,Mainland China,2020-02-03T11:23:23,254,1,14
639,2/03/20,Beijing,Mainland China,2020-02-03T09:23:05,212,1,12
640,2/03/20,Shanghai,Mainland China,2020-02-03T07:03:12,203,1,10
641,2/03/20,Fujian,Mainland China,2020-02-03T11:33:13,179,0,1
642,2/03/20,Shaanxi,Mainland China,2020-02-03T02:33:02,128,0,0
643,2/03/20,Guangxi,Mainland China,2020-02-03T12:33:02,127,0,7
644,2/03/20,Heilongjiang,Mainland China,2020-02-03T07:13:19,121,2,2
